Democrats,Republicans,Others,Total,ED,RD,year,month,county
466,129,267,862,05,07,2018,November,New Castle
532,290,244,1066,06,07,2018,November,New Castle
827,453,402,1682,07,07,2018,November,New Castle
712,573,459,1744,08,07,2018,November,New Castle
719,433,386,1538,09,07,2018,November,New Castle
1354,430,495,2279,10,07,2018,November,New Castle
441,554,368,1363,01,08,2018,November,New Castle
1117,524,516,2157,02,08,2018,November,New Castle
831,417,390,1638,03,08,2018,November,New Castle
1129,239,320,1688,04,08,2018,November,New Castle
1456,586,619,2661,05,08,2018,November,New Castle
871,612,523,2006,06,08,2018,November,New Castle
678,775,462,1915,07,08,2018,November,New Castle
880,537,456,1873,08,08,2018,November,New Castle
151,143,92,386,09,08,2018,November,New Castle
985,423,484,1892,10,08,2018,November,New Castle
703,571,465,1739,01,09,2018,November,New Castle
755,347,363,1465,02,09,2018,November,New Castle
1037,774,607,2418,03,09,2018,November,New Castle
412,434,257,1103,04,09,2018,November,New Castle
477,286,237,1000,05,09,2018,November,New Castle
590,506,456,1552,06,09,2018,November,New Castle
282,289,197,768,07,09,2018,November,New Castle
672,346,340,1358,08,09,2018,November,New Castle
540,520,407,1467,09,09,2018,November,New Castle
699,397,374,1470,10,09,2018,November,New Castle
814,818,667,2299,11,09,2018,November,New Castle
583,397,360,1340,12,09,2018,November,New Castle
775,493,479,1747,13,09,2018,November,New Castle
792,702,488,1982,01,10,2018,November,New Castle
665,483,383,1531,02,10,2018,November,New Castle
556,483,390,1429,03,10,2018,November,New Castle
1124,485,456,2065,04,10,2018,November,New Castle
581,604,412,1597,05,10,2018,November,New Castle
625,631,418,1674,06,10,2018,November,New Castle
779,650,550,1979,07,10,2018,November,New Castle
1079,242,368,1689,08,10,2018,November,New Castle
574,482,352,1408,09,10,2018,November,New Castle
741,187,271,1199,10,10,2018,November,New Castle
771,495,443,1709,01,11,2018,November,New Castle
1135,447,560,2142,02,11,2018,November,New Castle
614,616,561,1791,03,11,2018,November,New Castle
532,332,335,1199,04,11,2018,November,New Castle
720,529,493,1742,01,12,2018,November,New Castle
561,447,363,1371,02,12,2018,November,New Castle
508,410,382,1300,03,12,2018,November,New Castle
377,606,275,1258,04,12,2018,November,New Castle
653,691,474,1818,05,12,2018,November,New Castle
258,356,185,799,06,12,2018,November,New Castle
552,447,378,1377,07,12,2018,November,New Castle
546,683,479,1708,08,12,2018,November,New Castle
535,461,429,1425,09,12,2018,November,New Castle
665,661,518,1844,10,12,2018,November,New Castle
435,753,407,1595,11,12,2018,November,New Castle
470,549,462,1481,12,12,2018,November,New Castle
372,493,259,1124,13,12,2018,November,New Castle
